Replaced symbols
================
x0    3drop
x1    3dup
x2    >>r
x3    >>>r
x4    r>>
x5    r>>>
x6    0>=
x7    c@+1
x8    c@-1
x9    @+1
xa    @-1
xb    hw_key
xc    third_dict
xd    bank2_wordlist
xe    game_wordlist
xf    menu_char_wordlist
xg    menu_skills_wordlist
xh    menu_res_wordlist
xi    menu_common_wordlist
xj    rand_val
xk    break
xl    halt
xm    bank2
xn    bank3
xo    bankrom
xp    bankgfx
xq    enablebankrom
xr    enablegfxram
xs    savedict
xt    dictmainram
xu    dictbankrom
xv    enablecommon
xw    thirddictcommon
xx    dictgame
xy    dictcharmenu
xz    dictskillsmenu
x10   dictresmenu
x11   dictcommonmenu
x12   enablegamerom
x13   enablecharmenurom
x14   enableskillsmenurom
x15   enableresmenurom
x16   enablecommonmenurom
x17   memmsg
x18   startup
x19   tile_ground_0
x1a   tile_ground_90
x1b   tile_ground_180
x1c   tile_ground_270
x1d   tile_rock
x1e   tile_lava
x1f   tile_crystal_red
x1g   tile_crystal_yellow
x1h   tile_crystal_blue
x1i   tile_robot_left
x1j   tile_robot_right
x1k   tile_menu_item_temp
x1l   tile_skill_temp
x1m   tile_menu_head
x1n   tile_menu_body
x1o   tile_menu_legs
x1p   tile_menu_gun
x1q   tile_menu_tool
x1r   tile_robot_left_raw
x1s   tile_robot_right_raw
x1t   tile_crystal_raw
x1u   tile_ground_raw
x1v   tile_hero_target
x1w   tile_menu_item_selector
x1x   tile_menu_item_selector_res
x1y   tile_menu_skill_selector
x1z   tile_exit
x20   tile_res_hp_heal
x21   tile_res_batt_heal
x22   tile_res_hp_upgrade
x23   tile_res_batt_upgrade
x24   tile_res_exp_upgrade
x25   tile_res_dmg_upgrade
x26   tile_skill0
x27   tile_skill1
x28   tile_skill2
x29   tile_skill3
x2a   tile_skill4
x2b   tile_skill5
x2c   tile_skill6
x2d   tile_skill7
x2e   tile_skill8
x2f   tile_skill9
x2g   tile_skill10
x2h   tile_skill11
x2i   tile_skill12
x2j   tile_skill13
x2k   tile_skill14
x2l   tile_monster
x2m   tile_monster_dead
x2n   tile_menu_item_slot
x2o   tile_crystal_base
x2p   tiles
x2q   color_basic_head
x2r   color_head_mkii
x2s   color_head_mkiii
x2t   color_head_mkiv
x2u   color_lightning
x2v   color_basic_body
x2w   color_tin_body
x2x   color_iron_body
x2y   color_steel_body
x2z   color_fortress
x30   color_basic_legs
x31   color_fast_legs
x32   color_quick_legs
x33   color_agile_legs
x34   color_mustang
x35   color_basic_gun
x36   color_blaster
x37   color_laser
x38   color_phaser
x39   color_death_ray
x3a   color_basic_tool
x3b   color_rock_pick
x3c   color_rock_drill
x3d   color_rock_borer
x3e   color_laser_bit
x3f   color_ground_0
x3g   color_ground_90
x3h   color_ground_180
x3i   color_ground_270
x3j   color_crystal_red
x3k   color_crystal_yellow
x3l   color_crystal_blue
x3m   color_rock_tile
x3n   color_lava_tile
x3o   tile_colors
x3p   item_colors
x3q   hero_hp
